house age,distance to the nearest MRT, number of convenience stores,latitude,longitude,Price
112,9.9,2102.427,3,24.96044,121.51462,23.1
94,40.9,167.5989,5,24.9663,121.54026,41
266,17.8,1783.18,3,24.96731,121.51486,23.7
86,1.8,1455.798,1,24.9512,121.549,27
4,5,390.5684,5,24.97937,121.54245,43.1
196,22.8,707.9067,2,24.981,121.54713,36.6
399,12.7,170.1289,1,24.97371,121.52984,37.3
25,29.3,1487.868,2,24.97542,121.51726,27
339,1.7,329.9747,5,24.98254,121.54395,50.4
316,13.3,250.631,7,24.96606,121.54297,42
109,4,2147.376,3,24.96299,121.51284,28.4
305,16.2,289.3248,5,24.98203,121.54348,55
256,14.6,339.2289,1,24.97519,121.53151,26.5
76,35.9,616.4004,3,24.97723,121.53767,36.8
346,13.2,1712.632,2,24.96412,121.5167,30.8
48,24.2,4605.749,0,24.94684,121.49578,13.4
374,5.4,390.5684,5,24.97937,121.54245,49.5
295,18.2,2179.59,3,24.96299,121.51252,21.8
241,13.7,250.631,7,24.96606,121.54297,41.4
201,13.1,561.9845,5,24.98746,121.54391,45.9
35,13.9,4079.418,0,25.01459,121.51816,27.3
166,0,292.9978,6,24.97744,121.54458,73.6
195,15.2,461.1016,5,24.95425,121.5399,34.6
54,16.1,289.3248,5,24.98203,121.54348,51.7
237,13,732.8528,0,24.97668,121.52518,39
0,32,84.87882,10,24.98298,121.54024,37.9
264,32.6,493.657,7,24.96968,121.54522,40.6
301,38,461.7848,0,24.97229,121.53445,35.7
272,13,492.2313,5,24.96515,121.53737,40.5
179,14,438.8513,1,24.97493,121.5273,42.6
215,19.2,383.7129,8,24.972,121.54477,48.1
409,13.7,4082.015,0,24.94155,121.50381,15.4
368,18.2,350.8515,1,24.97544,121.53119,43.1
388,10.4,2251.938,4,24.95957,121.51353,27.3
322,12.9,187.4823,1,24.97388,121.52981,33.1
180,26.9,4449.27,0,24.94898,121.49621,15.5
251,31.7,1159.454,0,24.9496,121.53018,13.8
274,27.5,394.0173,7,24.97305,121.53994,41
330,32,1156.777,0,24.94935,121.53046,12.8
230,4,2147.376,3,24.96299,121.51284,33.4
92,20.6,2469.645,4,24.96108,121.51046,21.8
77,20.5,2185.128,3,24.96322,121.51237,25.6
151,4.9,387.7721,9,24.98118,121.53788,44.7
74,6.8,379.5575,10,24.98343,121.53762,54.4
190,35.3,616.5735,8,24.97945,121.53642,42.3
7,20.3,287.6025,6,24.98042,121.54228,46.7
318,7.1,379.5575,10,24.98343,121.53762,49.8
380,14.1,289.3248,5,24.98203,121.54348,53.3
363,32.3,109.9455,10,24.98182,121.54086,48
95,8,104.8101,5,24.96674,121.54067,51.8
138,10,942.4664,0,24.97843,121.52406,43.5
299,33.2,121.7262,10,24.98178,121.54059,46.1
244,4.8,1559.827,3,24.97213,121.51627,21.7
34,15.4,205.367,7,24.98419,121.54243,55.1
229,31,1156.412,0,24.9489,121.53095,19
91,9.1,1402.016,0,24.98569,121.5276,43.2
164,0,185.4296,0,24.9711,121.5317,55.2
163,8.5,104.8101,5,24.96674,121.54067,55.5
255,31.5,5512.038,1,24.95095,121.48458,17.4
254,1.1,329.9747,5,24.98254,121.54395,51.8
275,1.5,23.38284,7,24.96772,121.54102,49.7
83,25.3,2707.392,3,24.96056,121.50831,17.7
327,3.5,757.3377,3,24.97538,121.54971,36.7
67,8.5,104.8101,5,24.96674,121.54067,56.8
3,13.3,561.9845,5,24.98746,121.54391,54.8
157,16.1,815.9314,4,24.97886,121.53464,35.6
379,0,292.9978,6,24.97744,121.54458,69.7
182,13.5,2147.376,3,24.96299,121.51284,23.6
396,37.1,918.6357,1,24.97198,121.55063,31.9
370,15.9,289.3248,5,24.98203,121.54348,42.1
323,28.6,197.1338,6,24.97631,121.54436,42.5
324,12.4,1712.632,2,24.96412,121.5167,31.3
217,28,372.6242,6,24.97838,121.54119,40.8
115,20.6,737.9161,2,24.98092,121.54739,46.4
412,8.1,104.8101,5,24.96674,121.54067,52.5
365,17.3,2261.432,4,24.96182,121.51222,29.5
193,9.7,421.479,5,24.98246,121.54477,49.3
147,3.2,489.8821,8,24.97017,121.54494,43.2
231,16.2,4074.736,0,24.94235,121.50357,14.7
320,13.5,4197.349,0,24.93885,121.50383,18.6
389,40.9,122.3619,8,24.96756,121.5423,67.7
319,34.6,272.6783,5,24.95562,121.53872,26.9
350,13.2,492.2313,5,24.96515,121.53737,42.3
291,3.4,56.47425,7,24.95744,121.53711,54.4
111,33.3,196.6172,7,24.97701,121.54224,39.4
171,3.6,383.8624,5,24.98085,121.54391,58.8
333,7.8,104.8101,5,24.96674,121.54067,38.4
17,17.7,350.8515,1,24.97544,121.53119,37.4
26,3.1,383.8624,5,24.98085,121.54391,56.2
37,12,1360.139,1,24.95204,121.54842,25.3
410,5.6,90.45606,9,24.97433,121.5431,50
155,13.8,4082.015,0,24.94155,121.50381,15.6
24,39.6,480.6977,4,24.97353,121.53885,38.8
283,33.5,1978.671,2,24.98674,121.51844,23.5
406,1.9,372.1386,7,24.97293,121.54026,40.5
284,15,383.2805,7,24.96735,121.54464,34.4
114,30.6,143.8383,8,24.98155,121.54142,53.3
371,4.1,312.8963,5,24.95591,121.53956,51.7
139,12.9,492.2313,5,24.96515,121.53737,42.5
44,2.7,533.4762,4,24.97445,121.54765,53.9
184,14.1,2615.465,0,24.95495,121.56174,21.8
317,15.6,752.7669,2,24.97795,121.53451,37.5
13,20.4,2469.645,4,24.96108,121.51046,23.8
344,34.6,3085.17,0,24.998,121.5155,41.2
89,23,3947.945,0,24.94783,121.50243,25.3
98,16.4,289.3248,5,24.98203,121.54348,51
57,3.5,56.47425,7,24.95744,121.53711,53.5
261,16.2,2288.011,3,24.95885,121.51359,24.4
33,16.5,323.655,6,24.97841,121.54281,49.3
405,23,130.9945,6,24.95663,121.53765,37.2
307,10.3,3079.89,0,24.9546,121.56627,24.7
404,16.4,289.3248,5,24.98203,121.54348,41.2
122,31.5,414.9476,4,24.98199,121.54464,32.5
390,32.8,377.8302,9,24.97151,121.5435,38.6
1,19.5,306.5947,9,24.98034,121.53951,42.2
174,4.3,432.0385,7,24.9805,121.53778,45.2
289,13.9,289.3248,5,24.98203,121.54348,44.5
387,16.2,2103.555,3,24.96042,121.51462,25.6
102,1.1,193.5845,6,24.96571,121.54089,54.4
60,11,1931.207,2,24.96365,121.51471,21.3
70,6.6,90.45606,9,24.97433,121.5431,59
62,17.2,2175.877,3,24.96303,121.51254,27.7
271,17.7,451.6419,8,24.96945,121.5449,26.5
381,8,132.5469,9,24.98298,121.53981,47.3
337,31.3,600.8604,5,24.96871,121.54651,30.9
342,5.7,90.45606,9,24.97433,121.5431,53.5
52,32.1,1438.579,3,24.97419,121.5175,27
65,40.1,123.7429,8,24.97635,121.54329,44.3
336,5.1,1867.233,2,24.98407,121.51748,35.6
218,13.6,492.2313,5,24.96515,121.53737,43.8
315,15.6,1756.411,2,24.9832,121.51812,27.3
148,16.4,3780.59,0,24.93293,121.51203,45.1
384,16.1,4066.587,0,24.94297,121.50342,12.9
153,6.5,376.1709,6,24.95418,121.53713,40.9
352,18.4,2674.961,3,24.96143,121.50827,25.7
355,3.8,383.8624,5,24.98085,121.54391,60.7
177,33,181.0766,9,24.97697,121.54262,42
277,21.2,2185.128,3,24.96322,121.51237,27.7
302,16.5,2288.011,3,24.95885,121.51359,23.2
55,31.7,1160.632,0,24.94968,121.53009,13.7
181,11.6,201.8939,8,24.98489,121.54121,55.9
192,43.8,57.58945,7,24.9675,121.54069,42.7
140,16.2,289.3248,5,24.98203,121.54348,51.4
127,3.8,383.8624,5,24.98085,121.54391,55
152,12,1360.139,1,24.95204,121.54842,28.9
235,12.9,250.631,7,24.96606,121.54297,39.3
357,0,338.9679,9,24.96853,121.54413,44.9
401,7.6,2175.03,3,24.96305,121.51254,27.7
197,34.4,126.7286,8,24.96881,121.54089,48.2
124,9.9,279.1726,7,24.97528,121.54541,57.4
103,0,208.3905,6,24.95618,121.53844,45.7
393,16.9,967.4,4,24.98872,121.53408,40.3
40,13.6,4082.015,0,24.94155,121.50381,15.9
347,17.4,6488.021,1,24.95719,121.47353,11.2
154,16.9,4066.587,0,24.94297,121.50342,20.7
56,33.6,371.2495,8,24.97254,121.54059,41.9
96,6.4,90.45606,9,24.97433,121.5431,59.5
338,31.5,258.186,9,24.96867,121.54331,36.3
285,30.1,718.2937,3,24.97509,121.53644,55.3
213,6.2,90.45606,9,24.97433,121.5431,58
104,32.7,392.4459,6,24.96398,121.5425,30.5
225,1.1,193.5845,6,24.96571,121.54089,49
345,0,185.4296,0,24.9711,121.5317,37.9
311,21.3,537.7971,4,24.97425,121.53814,42.2
75,12.3,1360.139,1,24.95204,121.54842,29.5
45,36.6,488.8193,8,24.97015,121.54494,38.3
228,11.9,3171.329,0,25.00115,121.51776,46.6
84,15.1,383.2805,7,24.96735,121.54464,43.7
212,17.6,1805.665,2,24.98672,121.52091,31.1
51,31.3,1758.406,1,24.95402,121.55282,20.7
280,2.3,184.3302,6,24.96581,121.54086,45.4
278,0,208.3905,6,24.95618,121.53844,44
108,31.4,592.5006,2,24.9726,121.53561,34.1
187,8.9,3078.176,0,24.95464,121.56627,22
250,39.2,424.7132,7,24.97429,121.53917,30
402,12.7,187.4823,1,24.97388,121.52981,28.5
313,8.3,104.8101,5,24.96674,121.54067,42.8
12,13,492.2313,5,24.96515,121.53737,39.3
6,34.5,623.4731,7,24.97933,121.53642,40.3
158,11.6,390.5684,5,24.97937,121.54245,39.4
128,41.3,124.9912,6,24.96674,121.54039,60.7
288,16.6,323.6912,6,24.97841,121.5428,51
360,32.9,87.30222,10,24.983,121.54022,47.1
267,34.7,482.7581,5,24.97433,121.53863,41.1
126,38.6,804.6897,4,24.97838,121.53477,62.9
298,16.7,4082.015,0,24.94155,121.50381,16.7
351,4,2180.245,3,24.96324,121.51241,28.6
309,30.3,1264.73,0,24.94883,121.52954,19.1
248,19,1009.235,0,24.96357,121.54951,22.3
39,16.2,289.3248,5,24.98203,121.54348,46.2
375,21.7,1157.988,0,24.96165,121.55011,23.8
332,39.8,617.7134,2,24.97577,121.53475,39.6
10,34.8,405.2134,1,24.97349,121.53372,41.4
88,8.9,1406.43,0,24.98573,121.52758,48
169,8.4,1962.628,1,24.95468,121.55481,23.5
46,21.7,463.9623,9,24.9703,121.54458,42
270,10.8,252.5822,1,24.9746,121.53046,117.5
400,26.8,482.7581,5,24.97433,121.53863,35.5
290,37.7,490.3446,0,24.97217,121.53471,37
144,11.9,1360.139,1,24.95204,121.54842,28.4
243,32.8,204.1705,8,24.98236,121.53923,48.2
186,20.9,2185.128,3,24.96322,121.51237,25.7
259,17.7,837.7233,0,24.96334,121.54767,28.8
170,24,4527.687,0,24.94741,121.49628,14.4
23,10.1,279.1726,7,24.97528,121.54541,47.9
392,42.7,443.802,6,24.97927,121.53874,35.3
369,20.2,2185.128,3,24.96322,121.51237,22.8
246,16.4,389.8219,6,24.96412,121.54273,40.6
189,16.3,4066.587,0,24.94297,121.50342,20.5
224,34.5,324.9419,6,24.97814,121.5417,46
61,5.3,259.6607,6,24.97585,121.54516,63.2
358,1.1,193.5845,6,24.96571,121.54089,45.1
252,5.9,90.45606,9,24.97433,121.5431,52.7
185,31.4,1447.286,3,24.97285,121.5173,21.5
198,34,157.6052,7,24.96628,121.54196,39.1
386,0,185.4296,0,24.9711,121.5317,55.3
296,12.5,1144.436,4,24.99176,121.53456,34.1
31,29.6,769.4034,7,24.98281,121.53408,25
119,16.6,289.3248,5,24.98203,121.54348,59.6
239,18.1,837.7233,0,24.96334,121.54767,29.7
321,16.9,964.7496,4,24.98872,121.53411,37.7
97,28.4,617.4424,3,24.97746,121.53299,34.6
59,13.3,336.0532,5,24.95776,121.53438,42.4
249,18,6306.153,1,24.95743,121.47516,15
145,2.1,451.2438,5,24.97563,121.54694,45.5
87,16.9,4066.587,0,24.94297,121.50342,18.3
41,16.8,4066.587,0,24.94297,121.50342,18.2
141,5.1,1559.827,3,24.97213,121.51627,28.9
258,0,292.9978,6,24.97744,121.54458,63.3
303,38.3,439.7105,0,24.97161,121.53423,38.4
21,10.5,279.1726,7,24.97528,121.54541,51.6
348,4.6,259.6607,6,24.97585,121.54516,53.7
99,6.4,90.45606,9,24.97433,121.5431,62.2
276,19.1,461.1016,5,24.95425,121.5399,34
385,18.3,82.88643,10,24.983,121.54026,46.6
219,29.3,529.7771,8,24.98102,121.53655,40.2
90,0,274.0144,1,24.9748,121.53059,45.4
73,13.8,4082.015,0,24.94155,121.50381,20
373,0,274.0144,1,24.9748,121.53059,52.2
173,41.3,401.8807,4,24.98326,121.5446,35.1
176,13.9,4573.779,0,24.94867,121.49507,19.2
2,13.3,561.9845,5,24.98746,121.54391,47.3
8,31.7,5512.038,1,24.95095,121.48458,18.8
268,17.2,390.5684,5,24.97937,121.54245,40.1
211,0,274.0144,1,24.9748,121.53059,43.5
71,35.5,640.7391,3,24.97563,121.53715,40.8
223,9.1,1402.016,0,24.98569,121.5276,42.3
165,13.7,1236.564,1,24.97694,121.55391,30.6
245,7.5,639.6198,5,24.97258,121.54814,40.8
118,25.3,1583.722,3,24.96622,121.51709,30.6
286,5.9,90.45606,9,24.97433,121.5431,56.3
411,18.8,390.9696,7,24.97923,121.53986,40.6
32,37.9,488.5727,1,24.97349,121.53451,34.2
210,5.2,390.5684,5,24.97937,121.54245,52.2
260,17,1485.097,4,24.97073,121.517,30.7
329,13.6,4197.349,0,24.93885,121.50383,19.2
214,18.1,1783.18,3,24.96731,121.51486,20.9
349,7.8,104.8101,5,24.96674,121.54067,47
372,33.9,157.6052,7,24.96628,121.54196,41.5
167,28.2,330.0854,8,24.97408,121.54011,43.4
354,12.2,1360.139,1,24.95204,121.54842,30.1
335,27.3,337.6016,6,24.96431,121.54063,36.5
263,3.9,2147.376,3,24.96299,121.51284,31.7
82,13.2,150.9347,7,24.96725,121.54252,48.1
47,35.9,640.7391,3,24.97563,121.53715,61.5
238,12.8,732.8528,0,24.97668,121.52518,40.6
257,17.3,444.1334,1,24.97501,121.5273,43.9
356,10.3,211.4473,1,24.97417,121.52999,45.3
194,15.2,3771.895,0,24.93363,121.51158,29.3
162,16,4066.587,0,24.94297,121.50342,11.6
325,36.6,488.8193,8,24.97015,121.54494,38.1
364,35.3,614.1394,7,24.97913,121.53666,33.1
116,30.9,6396.283,1,24.94375,121.47883,12.2
